k [h/Mpc],T [k]
6.727e-05,1.0000000928176271
6.781459595861973e-05,1.0000000943525258
6.83636007883283e-05,1.0000000959115039
6.89170501819066e-05,1.0000000974944954
6.947498012109287e-05,1.000000099101428
7.003742687892153e-05,1.0000001007322366
7.060442702208172e-05,1.0000001023868563
7.117601741329457e-05,1.0000001040673103
7.175223521370966e-05,1.0000001057755237
7.233311788532136e-05,1.0000001075118887
7.291870319340389e-05,1.0000001092768034
7.350902920896685e-05,1.0000001110706647
7.410413431123032e-05,1.0000001128938651
7.470405719012003e-05,1.0000001147468045
7.53088368487826e-05,1.0000001166298762
7.591851260612171e-05,1.000000118543477
7.653312409935368e-05,1.0000001204880018
7.7152711286585e-05,1.0000001224638475
7.77773144494099e-05,1.0000001244714123
7.840697419552912e-05,1.0000001265110878
7.904173146139038e-05,1.0000001285832723
7.968162751484929e-05,1.0000001306883621
8.032670395785256e-05,1.0000001328267514
8.097700272914274e-05,1.000000134998838
8.163256610698465e-05,1.0000001372050176
8.229343671191437e-05,1.000000139445684
8.29596575095097e-05,1.0000001417212367
8.36312718131838e-05,1.0000001440320687
8.43083232870011e-05,1.0000001463785777
8.499085594851592e-05,1.0000001487611585
8.56789141716346e-05,1.0000001511802075
8.637254268949993e-05,1.0000001536361212
8.707178659739962e-05,1.0000001561292933
8.777669135569818e-05,1.0000001586601226
8.848730279279235e-05,1.000000161229005
8.920366710809055e-05,1.0000001638370382
8.992583087501677e-05,1.0000001664888998
9.065384104403799e-05,1.0000001691858948
9.138774494571689e-05,1.000000171928647
9.212759029378897e-05,1.0000001747177816
9.287342518826447e-05,1.0000001775539245
9.362529811855584e-05,1.000000180437698
9.438325796662978e-05,1.0000001833697283
9.514735401018547e-05,1.0000001863506405
9.591763592585826e-05,1.0000001893810568
9.669415379244924e-05,1.0000001924616049
9.747695809418142e-05,1.0000001955929085
9.82660997239813e-05,1.000000198775592
9.906162998678796e-05,1.0000002020102805
9.986360060288859e-05,1.0000002052975983
0.00010067206371128077,1.0000002086381705
0.00010148707187306273,1.0000002120326212
0.00010230867807484989,1.000000215481576
0.00010313693573222004,1.000000218985659
0.00010397189869318618,1.0000002225454947
0.00010481362124169698,1.000000226161709
0.00010566215810116671,1.000000229834925
0.00010651756443803212,1.00000023356577
0.00010737989586533953,1.0000002373548653
0.00010824920844636038,1.000000241202837
0.00010912555869823601,1.0000002451103107
0.00011000900359565198,1.0000002490779094
0.00011089960057454268,1.0000002531062613
0.00011179740753582468,1.0000002571959863
0.00011270248284916158,1.000000261351531
0.00011361488535675879,1.0000002655785172
0.00011453467437718881,1.0000002698780532
0.00011546190970924836,1.0000002742512282
0.00011639665163584527,1.0000002786991347
0.00011733896092791828,1.000000283222864
0.00011828889884838779,1.0000002878235088
0.0001192465271561388,1.0000002925021614
0.000120211908110036,1.0000002972599134
0.00012118510447297183,1.0000003020978536
