,M_V,L_V,D,rhalf_arcmin,rhalf_sph_physical,M_dynamical_wolf,sigma_vrad,sigma_vrad_err,frac_M_err,M_err,n_stars
Andromeda V,-9.3,448745.3899331332,758.58,1.6,302.5,30902954.32513592,10.5,1.2414939127718352,0.2364750310041591,7307777.082156629,59.0
Andromeda IX,-8.63,242102.904673618,701.46,2.0,393.4,43651583.22401656,10.9,1.5366422663403323,0.2819527094202445,12307682.16049476,41.0
Andromeda X,-7.3,71121.35136533296,630.96,1.1,175.37,6456542.290346549,6.4,1.7677630026554194,0.5524259383298186,3566761.433110848,18.0
Andromeda XI,-6.38,30478.949896279893,751.62,0.6,108.85,5248074.602497723,7.6,4.438207545849209,1.1679493541708446,6129485.342627627,4.0
Andromeda XII,-6.58,36643.75746478333,717.79,1.8,223.49,,,,,,8.0
Andromeda XIV,-8.64,244343.05526939762,772.68,1.5,296.31,7585775.7502918355,5.3,1.4049572786128028,0.5301725579670954,4021770.1336969845,29.0
Andromeda XV,-8.37,190546.07179632483,748.17,1.3,245.39,3630780.54770101,4.0,1.4191374691587613,0.7095687345793806,2576288.358767636,28.0
Andromeda XVI,-7.47,83176.37711026726,517.61,1.0,126.3,1698243.652461746,3.8,1.0679235384825885,0.562065020253994,954523.352917128,27.0
Andromeda XVII,-7.8,112719.74561755093,758.58,1.4,215.41,1621810.09735893,2.9,1.8840358229905447,1.2993350503383068,2107274.7044910393,14.0
Andromeda XX,-6.35,29648.313895243453,741.31,0.4,72.48,3090295.432513592,7.1,12.375519736217864,3.486061897526159,10772961.159384754,1.0
Andromeda XXI,-8.94,322106.8791283435,772.68,4.1,730.2,24547089.156850286,6.1,1.1937118714119135,0.391380941446529,9607262.863979949,36.0
Andromeda XXII,-6.39,30760.96814740705,755.09,0.9,119.68,812830.5161640996,2.8,14.423144551334097,10.302246108095785,8373980.0216930825,1.0
Andromeda XXIII,-9.76,685488.226452662,744.73,5.4,895.73,38018939.632056125,6.8,0.7676500532365015,0.22577942742250046,8583894.421336241,103.0
Andromeda XXIV,-7.62,95499.25860214369,608.14,2.6,402.8,,,,,,22.0
Andromeda XXV,-9.08,366437.5746478333,751.62,2.7,561.55,7079457.843841373,3.7,1.0360482115721223,0.5600260603092553,3964680.885411939,46.0
Andromeda XXVI,-5.98,21086.28149933293,787.05,1.0,164.68,10232929.922807537,8.6,7.9063927844005075,1.8386959963722111,18815247.28022362,1.0
Andromeda XXVIII,-8.51,216770.41048196962,744.73,1.38,227.23,5011872.336272725,4.9,1.2721170334678469,0.5192314422317742,2602321.7014444186,31.0
Andromeda XXIX,-8.17,158489.3192461114,711.21,1.39,241.87,7244359.600749906,5.7,1.4752505616490108,0.5176317760171968,3749910.7262434047,24.0
Cassiopeia II,-7.74,106659.6121230259,559.76,1.5,182.4,22908676.52767775,11.8,1.9669061731082174,0.33337392764546053,7637155.471191302,26.0
IC 10,-14.93,80167806.3387679,769.13,2.65,533.6,,,,,,20.0
Lacerta I,-11.21,2606153.5499988976,744.73,3.13,520.47,51286138.39913648,10.3,0.4719777321296365,0.0916461615785702,4700177.726468176,402.0
LGS 3,-9.61,597035.2865838367,605.34,2.1,329.55,19054607.17963248,7.9,0.6623795063394552,0.1676910142631532,3195286.4043385317,139.0
NGC 147,-14.83,73113908.34834187,734.51,3.17,520.25,123026877.0812381,16.0,2.4237252481333464,0.3029656560166683,37272918.52259932,23.0
NGC 185,-14.86,75162289.40182045,648.63,2.55,443.58,234422881.53199178,24.0,3.9225015536881687,0.32687512947401404,76627009.75244127,19.0
Pegasus V,-6.3,28313.91995799379,691.83,0.4,79.15,,,,,,4.0
Pegasus VII,-5.7,16292.960326397248,751.62,0.8,120.61,,,,,,0.0
Perseus I,-8.87,301995.1720402019,704.69,1.4,272.22,4677351.412871981,4.2,0.9227349858206653,0.43939761229555485,2055217.0426831883,53.0
Cetus,-11.19,2558585.886905648,755.09,3.2,574.47,36307805.4770101,8.3,0.4285198627677906,0.10325779825729893,3749064.053110362,392.0
IC 1613,-15.12,95499258.60214369,731.14,7.57,1439.78,154881661.89124796,10.8,0.7046847112091897,0.13049716874244255,20211618.366932116,132.0
Leo A,-12.11,5970352.865838366,797.99,2.3,405.75,30199517.20402019,9.0,0.3276959902504954,0.07282133116677675,2199169.043390726,750.0
Leo K,-4.73,6668.067692136226,434.51,0.6367,61.68,,,,,,0.0
Leo M,-5.77,17378.00828749376,459.2,0.9967,83.08,,,,,,5.0
Leo T,-7.98,133045.44179780927,413.05,1.39,155.06,7943282.347242822,7.5,0.869412243321432,0.2318432648857152,1841596.513293843,64.0
Phoenix,-9.87,758577.5750291835,409.26,2.43,241.99,19498445.997580454,9.3,0.4226482554997835,0.09089209795694268,1772254.6636202396,400.0
